"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"323","Amager Vest",5,8,4,332,55.647753,12.611403,"E"
"324","Amager Øst",4.5,6,3,258,55.654661,12.639164,"E"
"325","Vesterbro-Kongens Enghave",5,4,2,204,55.671325,12.546327,"E"
"326","Amager Øst",4.5,4,2,129,55.660619,12.604844,"E"
"327","Valby",0,3,1,1513,55.666493,12.51522,"E"
"328","Vesterbro-Kongens Enghave",0,8,2,333,55.667044,12.548709,"E"
"329","Vanløse",5,16,7,423,55.694174,12.486432,"E"
"330","Vesterbro-Kongens Enghave",5,3,2,454,55.670415,12.562494,"E"
"331","Nørrebro",0,6,3,454,55.691407,12.559881,"E"
"332","Indre By",4.5,6,4,378,55.685389,12.588953,"E"
"333","Brønshøj-Husum",5,11,6,507,55.702176,12.501628,"E"
"334","Indre By",0,8,2,378,55.682456,12.570509,"E"
"335","Vesterbro-Kongens Enghave",0,6,3,454,55.672177,12.557399,"E"
"336","Østerbro",0,7,3,423,55.697011,12.576436,"E"
"337","Amager Øst",4.5,10,5,258,55.658359,12.626866,"E"
"338","Østerbro",0,6,3,258,55.702525,12.579481,"E"
"339","Nørrebro",4.5,6,3,227,55.701682,12.545801,"E"
"340","Østerbro",4.5,4,1,272,55.707917,12.572761,"E"
"341","Vanløse",0,5,2,190,55.689612,12.50331,"E"
"342","Nørrebro",5,3,1,197,55.700367,12.551104,"E"
"343","Nørrebro",5,6,3,197,55.69647,12.551364,"E"
"344","Vesterbro-Kongens Enghave",5,5,3,151,55.64638,12.552357,"E"
"345","Brønshøj-Husum",0,6,4,181,55.709644,12.508311,"E"
"346","Østerbro",0,5,2,174,55.69913,12.594705,"E"
"347","Brønshøj-Husum",0,4,0,135,55.709363,12.508936,"E"
"348","Brønshøj-Husum",0,3,1,118,55.711656,12.483436,"E"
"349","Vesterbro-Kongens Enghave",0,3,2,118,55.664511,12.547016,"E"
"350","Vesterbro-Kongens Enghave",0,6,3,121,55.667147,12.555574,"E"
"351","Vanløse",5,3,2,91,55.693385,12.498413,"E"
"352","Brønshøj-Husum",5,7,3,91,55.713156,12.460896,"E"
"353","Bispebjerg",0,4,2,83,55.703805,12.528224,"E"
"354","Brønshøj-Husum",0,4,3,75,55.715195,12.458419,"E"
"355","Vesterbro-Kongens Enghave",0,3,1,70,55.657156,12.536372,"E"
"356","Nørrebro",0,3,1,59,55.693128,12.537352,"E"
"357","Bispebjerg",4.5,4,1,38,55.706037,12.527225,"E"
"358","Vesterbro-Kongens Enghave",0,2,1,1513,55.667711,12.55421,"E"
"359","Indre By",3.5,11,5,606,55.681617,12.583572,"E"
"360","Østerbro",0,2,1,518,55.697191,12.594322,"E"
"361","Amager Vest",4.5,4,2,541,55.669076,12.580473,"E"
"362","Indre By",0,6,3,529,55.677876,12.590322,"E"
"363","Indre By",5,15,4,528,55.678387,12.570685,"E"
"364","Amager Vest",0,2,0,529,55.643933,12.585342,"E"
"365","Brønshøj-Husum",4.5,7,3,348,55.707794,12.460995,"E"
"366","Amager Vest",0,2,1,378,55.618897,12.570319,"E"
"367","Amager Vest",0,7,3,321,55.659361,12.589878,"E"
"368","Indre By",0,6,5,333,55.696061,12.584929,"E"
"369","Indre By",4.5,6,3,333,55.67819,12.569485,"E"
"370","Valby",0,3,2,464,55.6605,12.517905,"E"
"371","Valby",0,6,3,327,55.675755,12.491171,"E"
"372","Indre By",5,6,3,394,55.685599,12.566717,"E"
"373","Valby",5,10,4,407,55.664567,12.49643,"E"
"374","Brønshøj-Husum",5,13,7,364,55.711484,12.510032,"E"
"375","Indre By",5,5,2,407,55.678809,12.581086,"E"
"376","Indre By",0,2,1,318,55.682495,12.575077,"E"
"377","Indre By",5,8,4,423,55.696056,12.608275,"E"
"378","Indre By",5,11,5,454,55.679442,12.58814,"E"
"379","Indre By",5,6,3,423,55.691455,12.576744,"E"
"380","Indre By",0,4,2,378,55.675437,12.571733,"E"
"381","Amager Øst",5,6,2,378,55.663202,12.630684,"E"
"382","Indre By",5,6,3,378,55.683723,12.563245,"E"
"383","Amager Vest",5,2,1,378,55.662938,12.595018,"E"
"384","Indre By",4.5,12,6,341,55.688557,12.586778,"E"
"385","Østerbro",5,10,5,394,55.699041,12.589032,"E"
"386","Indre By",5,5,3,348,55.678414,12.568073,"E"
"387","Indre By",0,7,3,439,55.679425,12.572929,"E"
